2	0.10  -135.57413572
2	0.09  -135.57305622
2	0.08  -135.57197477
2	0.07  -135.57089299
2	0.06  -135.56981118
2	0.05  -135.56872937
2	0.04  -135.56764756
2	0.03  -135.56656575
2	0.02  -135.56548394
2	0.01  -135.56440213


4	0.10  -135.42577907
4	0.09  -135.42561811
4	0.08  -135.42543900
4	0.07  -135.42520300
4	0.06  -135.42488773
4	0.05  -135.42454481
4	0.04  -135.42428471
4	0.03  -135.42409880
4	0.02  -135.42377135
4	0.01  -135.42342378


6	0.10  -135.43218677
6	0.09  -135.43170428
6	0.08  -135.43108637
6	0.07  -135.43035857
6	0.06  -135.42956300
6	0.05  -135.42875890
6	0.04  -135.42803389
6	0.03  -135.42750541
6	0.02  -135.42726253
6	0.01  -135.42733901


8	0.10  -135.43525140
8	0.09  -135.43553388
8	0.08  -135.43578085
8	0.07  -135.43598687
8	0.06  -135.43614856
8	0.05  -135.43626545
8	0.04  -135.43633814
8	0.03  -135.43635263
8	0.02  -135.43631266
8	0.01  -135.43630866


10	0.10  -135.43496958
10	0.09  -135.43513218
10	0.08  -135.43523715
10	0.07  -135.43528698
10	0.06  -135.43529009
10	0.05  -135.43526477
10	0.04  -135.43525263
10	0.03  -135.43531637
10	0.02  -135.43546508
10	0.01  -135.43547502


12	0.10  -135.43495166
12	0.09  -135.43511513
12	0.08  -135.43522353
12	0.07  -135.43527651
12	0.06  -135.43527158
12	0.05  -135.43519327
12	0.04  -135.43501636
12	0.03  -135.43474428
12	0.02  -135.43444224
12	0.01  -135.43416379


14	0.10  -135.43495216
14	0.09  -135.43511803
14	0.08  -135.43523494
14	0.07  -135.43531462
14	0.06  -135.43538019
14	0.05  -135.43545528
14	0.04  -135.43554186
14	0.03  -135.43560731
14	0.02  -135.43562004
14	0.01  -135.43563483
