8	0.009	0.606186
8	0.01	0.594687
8	0.02	0.708327
8	0.03	0.582053
8	0.04	0.577207


10	0.009	0.554002
10	0.01	0.555635
10	0.02	0.563896
10	0.03	0.57394
10	0.04	0.576219


12	0.009	0.543639
12	0.01	0.547493
12	0.02	0.560373
12	0.03	0.560555
12	0.04	0.572327


14	0.009	0.574692
14	0.01	0.576293
14	0.02	0.576424
14	0.03	0.569556
14	0.04	0.576023


16	0.009	0.583268
16	0.01	0.587214
16	0.02	0.588042
16	0.03	0.579437
16	0.04	0.570706


18	0.009	0.686007
18	0.01	0.689787
18	0.02	0.560309
18	0.03	0.566329
18	0.04	0.574364

